run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_reducido.properties;575346467;stagnation;6669;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_001
2;config/instance_nfl_reducido.properties;690022610;stagnation;101117;337;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_002
3;config/instance_nfl_reducido.properties;1424257266;stagnation;22900;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_003
4;config/instance_nfl_reducido.properties;760871889;stagnation;41735;115;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_004
5;config/instance_nfl_reducido.properties;890474447;stagnation;67028;257;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_005
6;config/instance_nfl_reducido.properties;1455500169;stagnation;45648;160;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_006
7;config/instance_nfl_reducido.properties;212517704;stagnation;17091;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_007
8;config/instance_nfl_reducido.properties;934060570;stagnation;15224;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_008
9;config/instance_nfl_reducido.properties;1124114628;stagnation;29060;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_009
10;config/instance_nfl_reducido.properties;765843637;stagnation;53906;262;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_010
11;config/instance_nfl_reducido.properties;1502474994;stagnation;23483;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_011
12;config/instance_nfl_reducido.properties;1349829717;stagnation;34844;202;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_012
13;config/instance_nfl_reducido.properties;1493661747;stagnation;41802;203;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_013
14;config/instance_nfl_reducido.properties;734959693;stagnation;48125;170;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_014
15;config/instance_nfl_reducido.properties;891998443;stagnation;101725;342;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_015
16;config/instance_nfl_reducido.properties;1660981312;stagnation;19294;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_016
17;config/instance_nfl_reducido.properties;1830451251;stagnation;53761;190;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_017
18;config/instance_nfl_reducido.properties;1233644345;stagnation;40766;134;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p8_mut0p1\corrida_018
