teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,1:H:J,3:H:M,9:H:L,6:H:D,2:H:M,BYE,7:H:D,4:H:M,1:A:J,8:H:S,2:A:D,5:H:M
1,0:A:J,4:H:M,2:H:S,9:H:M,BYE,2:A:J,8:H:S,6:H:L,0:H:J,5:H:S,7:H:M,3:H:L
2,9:H:M,5:H:M,1:A:S,7:H:M,0:A:M,1:H:J,BYE,3:H:M,8:H:D,6:H:S,0:H:D,4:H:M
3,8:H:M,0:A:M,7:H:D,4:H:M,5:A:D,9:H:J,6:H:M,2:A:M,BYE,4:A:J,5:H:S,1:A:L
4,7:H:L,1:A:M,5:H:L,3:A:M,8:H:L,5:A:D,BYE,0:A:M,6:H:M,3:H:J,9:H:M,2:A:M
5,6:H:S,2:A:M,4:A:L,8:H:L,3:H:D,4:H:D,BYE,9:H:S,7:H:D,1:A:S,3:A:S,0:A:M
6,5:A:S,9:H:J,8:H:M,0:A:D,7:H:D,BYE,3:A:M,1:A:L,4:A:M,2:A:S,8:A:D,7:A:M
7,4:A:L,BYE,3:A:D,2:A:M,6:A:D,8:H:L,0:A:D,8:A:M,5:A:D,10:H:M,1:A:M,6:H:M
8,3:A:M,10:H:M,6:A:M,5:A:L,4:A:L,7:A:L,1:A:S,7:H:M,2:A:D,0:A:S,6:H:D,BYE
9,2:A:M,6:A:J,0:A:L,1:A:M,BYE,3:A:J,11:H:D,5:A:S,10:H:S,11:A:M,4:A:M,10:A:L
10,11:H:J,8:A:M,BYE,23:H:M,22:A:D,22:H:L,23:A:M,11:A:M,9:A:S,7:A:M,11:A:L,9:H:L
11,10:A:J,BYE,22:H:D,22:A:L,23:H:L,23:H:S,9:A:D,10:H:M,23:H:D,9:H:M,10:H:L,23:A:J
12,13:H:D,17:H:L,14:H:S,BYE,16:H:L,13:A:J,20:H:S,14:A:S,15:H:D,19:H:J,21:H:D,18:H:J
13,12:A:D,16:H:J,15:H:J,14:H:J,21:H:M,12:H:J,19:H:M,17:H:D,18:H:L,BYE,20:H:J,14:A:S
14,20:H:S,18:H:M,12:A:S,13:A:J,19:H:M,15:H:D,16:H:M,12:H:S,21:H:S,BYE,17:H:J,13:H:S
15,16:H:M,20:H:L,13:A:J,21:H:L,18:H:L,14:A:D,BYE,16:A:D,12:A:D,17:A:S,19:H:M,17:H:M
16,15:A:M,13:A:J,17:H:D,20:H:J,12:A:L,21:H:S,14:A:M,15:H:D,17:A:M,BYE,18:H:S,19:H:J
17,21:H:J,12:A:L,16:A:D,19:H:S,20:H:M,BYE,18:H:M,13:A:D,16:H:M,15:H:S,14:A:J,15:A:M
18,19:H:M,14:A:M,19:A:S,BYE,15:A:L,20:H:M,17:A:M,21:H:L,13:A:L,20:A:M,16:A:S,12:A:J
19,18:A:M,22:H:D,18:H:S,17:A:S,14:A:M,BYE,13:A:M,20:H:L,20:A:J,12:A:J,15:A:M,16:A:J
20,14:A:S,15:A:L,BYE,16:A:J,17:A:M,18:A:M,12:A:S,19:A:L,19:H:J,18:H:M,13:A:J,22:H:J
21,17:A:J,23:A:S,23:H:J,15:A:L,13:A:M,16:A:S,22:H:S,18:A:L,14:A:S,22:A:M,12:A:D,BYE
22,23:H:S,19:A:D,11:A:D,11:H:L,10:H:D,10:A:L,21:A:S,23:A:J,BYE,21:H:M,23:A:S,20:A:J
23,22:A:S,21:H:S,21:A:J,10:A:M,11:A:L,11:A:S,10:H:M,22:H:J,11:A:D,BYE,22:H:S,11:H:J
