run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;6025;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;29822;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;32020;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;47011;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;29837;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;14330;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;17976;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;7301;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;43893;119;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;17643;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;34831;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;38245;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;8737;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;35550;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;36114;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;43935;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;42112;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_017
18;config/instance_nfl.properties;1233644345;stagnation;28809;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_018
19;config/instance_nfl.properties;1063465592;stagnation;28449;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_019
20;config/instance_nfl.properties;606122930;stagnation;22093;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_020
21;config/instance_nfl.properties;835500794;stagnation;51829;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_021
22;config/instance_nfl.properties;1001915945;stagnation;27486;111;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_022
23;config/instance_nfl.properties;735627957;stagnation;45217;110;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_023
24;config/instance_nfl.properties;495675644;stagnation;27480;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_024
25;config/instance_nfl.properties;550785070;stagnation;64229;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_025
26;config/instance_nfl.properties;1498800289;stagnation;12195;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_026
27;config/instance_nfl.properties;937933140;stagnation;31171;127;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_027
28;config/instance_nfl.properties;1270431010;stagnation;43985;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_028
29;config/instance_nfl.properties;484442342;stagnation;32760;110;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_029
30;config/instance_nfl.properties;1709348956;stagnation;24208;155;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p1\corrida_030
