run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_reducido.properties;575346467;stagnation;13996;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_001
2;config/instance_nfl_reducido.properties;690022610;stagnation;52310;252;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_002
3;config/instance_nfl_reducido.properties;1424257266;stagnation;18960;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_003
4;config/instance_nfl_reducido.properties;760871889;stagnation;27633;117;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_004
5;config/instance_nfl_reducido.properties;890474447;stagnation;35463;112;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_005
6;config/instance_nfl_reducido.properties;1455500169;stagnation;24075;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_006
7;config/instance_nfl_reducido.properties;212517704;stagnation;99074;400;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_007
8;config/instance_nfl_reducido.properties;934060570;stagnation;36422;116;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_008
9;config/instance_nfl_reducido.properties;1124114628;stagnation;25275;106;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_009
10;config/instance_nfl_reducido.properties;765843637;stagnation;70514;204;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_010
11;config/instance_nfl_reducido.properties;1502474994;stagnation;35121;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_011
12;config/instance_nfl_reducido.properties;1349829717;stagnation;9475;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_012
13;config/instance_nfl_reducido.properties;1493661747;stagnation;30173;100;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_013
14;config/instance_nfl_reducido.properties;734959693;stagnation;50133;160;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_014
15;config/instance_nfl_reducido.properties;891998443;stagnation;38689;110;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_015
16;config/instance_nfl_reducido.properties;1660981312;stagnation;30064;107;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_016
17;config/instance_nfl_reducido.properties;1830451251;stagnation;16471;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_017
18;config/instance_nfl_reducido.properties;1233644345;stagnation;39940;193;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_018
19;config/instance_nfl_reducido.properties;1063465592;stagnation;10172;110;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_019
20;config/instance_nfl_reducido.properties;606122930;stagnation;57053;194;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_020
21;config/instance_nfl_reducido.properties;835500794;stagnation;45809;165;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_021
22;config/instance_nfl_reducido.properties;1001915945;stagnation;26934;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_022
23;config/instance_nfl_reducido.properties;735627957;stagnation;62424;257;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_023
24;config/instance_nfl_reducido.properties;495675644;stagnation;28472;137;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_024
25;config/instance_nfl_reducido.properties;550785070;stagnation;68954;231;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_025
26;config/instance_nfl_reducido.properties;1498800289;stagnation;44433;216;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_026
27;config/instance_nfl_reducido.properties;937933140;stagnation;44935;227;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_027
28;config/instance_nfl_reducido.properties;1270431010;stagnation;59632;254;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_028
29;config/instance_nfl_reducido.properties;484442342;stagnation;26964;119;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_029
30;config/instance_nfl_reducido.properties;1709348956;stagnation;54941;248;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop150_cx0p6_mut0p1\corrida_030
